,total_reward,negative_reward,trial_length,reached_destination
0,3.0,-7.0,21,False
1,1.0,-13.0,31,False
2,-1.0,-13.0,36,False
3,4.0,-12.0,26,False
4,4.0,-8.0,26,False
5,10.5,-9.5,26,False
6,10.5,-5.5,10,True
7,16.0,-2.0,11,True
8,6.5,-13.5,36,False
9,17.5,-12.5,46,False
10,14.0,-16.0,40,True
11,26.0,-6.0,26,True
12,15.5,-0.5,4,True
13,10.5,-13.5,30,True
14,11.0,-3.0,21,False
15,16.0,-2.0,21,False
16,5.0,-13.0,36,False
17,12.0,-1.5,8,True
18,16.5,-1.5,8,True
19,11.5,-6.5,19,True
20,11.0,-5.0,21,False
21,18.0,-2.0,13,True
22,18.5,-5.5,14,True
23,6.5,-11.5,26,True
24,23.5,-0.5,11,True
25,28.5,-3.5,21,True
26,25.0,-5.0,26,True
27,18.0,0.0,6,True
28,28.0,-2.0,22,True
29,23.5,-4.5,21,True
30,13.0,-1.0,7,True
31,25.0,-5.0,25,True
32,16.5,-1.5,8,True
33,17.0,-1.0,6,True
34,18.5,-5.5,21,True
35,8.0,-1.5,4,True
36,32.0,-2.0,27,True
37,16.0,-2.0,8,True
38,16.5,-5.5,18,True
39,30.5,-3.5,25,True
40,20.0,0.0,8,True
41,33.0,-3.0,24,True
42,24.0,-4.0,15,True
43,13.0,-7.0,22,True
44,35.0,-5.0,31,False
45,22.0,-6.0,20,True
46,30.5,-5.5,30,True
47,17.0,-1.0,8,True
48,36.0,0.0,23,True
49,22.0,0.0,11,True
50,29.0,-1.0,17,True
51,19.5,-0.5,7,True
52,22.5,-3.5,21,False
53,20.5,-5.5,17,True
54,17.0,-7.0,26,False
55,21.0,-1.0,10,True
56,19.0,-3.0,12,True
57,33.0,-3.0,21,True
58,36.0,-2.0,19,True
59,32.5,-1.5,16,True
60,56.0,-4.0,33,True
61,19.5,-0.5,7,True
62,31.5,-2.5,17,True
63,43.0,-1.0,19,True
64,19.5,-4.5,21,False
65,48.5,-9.5,46,False
66,27.0,-1.0,12,True
67,42.5,-5.5,34,True
68,26.0,-2.0,12,True
69,18.0,0.0,4,True
70,28.0,-2.0,14,True
71,29.0,-5.0,26,False
72,34.5,-3.5,20,True
73,32.5,-3.5,26,False
74,31.0,-1.0,13,True
75,13.0,-1.0,5,True
76,17.5,-0.5,5,True
77,29.0,-3.0,19,True
78,9.5,-2.5,5,True
79,27.0,-5.0,19,True
80,20.0,0.0,5,True
81,28.0,-4.0,18,True
82,29.0,-7.0,26,True
83,15.5,-0.5,4,True
84,29.0,-9.0,36,False
85,37.5,-2.5,20,True
86,29.5,-4.5,20,True
87,14.5,-1.5,5,True
88,28.5,-3.5,18,True
89,31.0,-9.0,36,False
90,33.5,-4.5,22,True
91,17.5,-0.5,11,True
92,32.5,-1.5,21,True
93,22.0,-4.0,26,False
94,39.5,-2.5,20,True
95,15.5,-0.5,4,True
96,38.5,-5.5,26,True
97,26.0,-6.0,24,True
98,35.5,-2.5,26,False
99,22.0,-4.0,14,True
