,total_reward,negative_reward,trial_length,reached_destination
0,-1.0,-9.0,21,False
1,20.0,0.0,12,True
2,29.0,-3.0,32,True
3,28.0,0.0,29,True
4,20.0,0.0,9,True
5,18.0,0.0,8,True
6,20.0,0.0,13,True
7,21.5,-0.5,16,True
8,23.0,-1.0,13,True
9,24.0,0.0,15,True
10,26.0,0.0,14,True
11,20.0,-2.0,17,True
12,20.0,0.0,7,True
13,22.0,0.0,7,True
14,22.0,-2.0,11,True
15,26.0,0.0,19,True
16,26.0,0.0,18,True
17,22.0,0.0,8,True
18,23.0,-1.0,10,True
19,22.5,-1.0,19,True
20,20.5,-3.5,14,True
21,20.0,0.0,8,True
22,22.0,0.0,12,True
23,23.5,-0.5,22,True
24,20.0,0.0,11,True
25,24.0,0.0,15,True
26,26.0,0.0,18,True
27,20.0,0.0,11,True
28,24.0,0.0,13,True
29,28.5,-1.5,17,True
30,20.0,0.0,12,True
31,17.5,-0.5,5,True
32,24.5,-1.5,25,True
33,24.0,0.0,9,True
34,18.0,0.0,11,True
35,20.0,0.0,11,True
36,20.5,-1.5,16,True
37,26.0,0.0,17,True
38,23.5,-0.5,11,True
39,20.0,0.0,12,True
40,22.0,0.0,16,True
41,29.0,-1.0,29,True
42,22.0,0.0,13,True
43,20.0,0.0,16,True
44,22.0,0.0,11,True
45,24.0,0.0,11,True
46,24.0,0.0,10,True
47,24.0,0.0,13,True
48,22.0,0.0,13,True
49,23.0,-1.0,21,True
50,20.0,0.0,9,True
51,18.0,0.0,13,True
52,20.0,0.0,10,True
53,22.5,-1.5,12,True
54,20.0,0.0,5,True
55,20.0,0.0,6,True
56,18.0,0.0,9,True
57,24.0,0.0,19,True
58,20.0,0.0,13,True
59,24.0,0.0,13,True
60,25.5,-0.5,13,True
61,26.0,0.0,17,True
62,22.0,0.0,16,True
63,18.0,0.0,6,True
64,23.5,-0.5,16,True
65,22.0,0.0,17,True
66,18.0,0.0,4,True
67,18.0,0.0,10,True
68,18.0,0.0,9,True
69,20.0,0.0,13,True
70,22.0,0.0,7,True
71,19.0,-1.0,10,True
72,20.0,0.0,10,True
73,30.0,0.0,18,True
74,23.5,-0.5,14,True
75,17.5,-2.5,18,True
76,18.0,0.0,11,True
77,20.0,0.0,18,True
78,31.5,-0.5,16,True
79,20.0,0.0,8,True
80,18.0,0.0,13,True
81,25.0,-1.0,13,True
82,23.5,-0.5,20,True
83,20.0,0.0,16,True
84,22.0,0.0,12,True
85,20.0,0.0,9,True
86,18.0,0.0,10,True
87,18.0,0.0,7,True
88,20.0,0.0,6,True
89,20.0,0.0,13,True
90,24.0,0.0,8,True
91,26.0,0.0,17,True
92,19.0,-1.0,13,True
93,22.0,0.0,15,True
94,28.0,0.0,22,True
95,20.0,0.0,10,True
96,23.5,-2.5,16,True
97,27.5,-2.5,22,True
98,23.5,-0.5,15,True
99,20.0,0.0,13,True
