,total_reward,negative_reward,trial_length,reached_destination
0,3.5,-8.5,21,False
1,6.0,-8.0,26,False
2,6.0,-10.0,26,False
3,-7.5,-17.5,36,False
4,0.5,-7.5,21,False
5,8.5,-11.5,36,False
6,23.5,-6.5,26,True
7,20.5,-5.5,26,False
8,19.5,-2.5,10,True
9,28.5,-3.5,30,True
10,0.0,-16.0,30,True
11,16.0,-14.0,41,True
12,27.5,-2.5,17,True
13,24.0,-8.0,36,True
14,11.0,-9.0,17,True
15,22.0,-2.0,13,True
16,19.5,-6.5,34,True
17,12.5,-3.5,21,False
18,19.0,-5.0,31,False
19,17.0,-1.0,5,True
20,21.5,-2.5,19,True
21,11.5,-10.5,25,True
22,25.5,-4.5,23,True
23,24.5,-5.5,21,True
24,27.0,-3.0,18,True
25,13.5,-2.5,10,True
26,28.5,-3.5,21,True
27,18.5,-1.5,14,True
28,14.5,-1.5,5,True
29,29.5,-4.5,36,True
30,22.0,0.0,7,True
31,18.0,0.0,5,True
32,23.5,-2.5,19,True
33,30.0,-2.0,23,True
34,19.5,-0.5,8,True
35,25.5,-0.5,26,True
36,37.5,-2.5,30,True
37,26.0,-2.0,26,True
38,26.5,-1.5,29,True
39,18.0,0.0,6,True
40,36.0,-6.0,41,True
41,24.0,0.0,11,True
42,19.5,-0.5,14,True
43,22.0,-2.0,17,True
44,18.0,0.0,9,True
45,20.0,0.0,11,True
46,22.0,0.0,10,True
47,25.0,-1.0,16,True
48,14.5,-1.5,8,True
49,13.0,-1.0,13,True
50,26.0,0.0,11,True
51,20.0,0.0,13,True
52,19.0,-1.0,14,True
53,20.0,0.0,6,True
54,21.5,-2.5,21,True
55,16.5,-1.5,9,True
56,28.5,-3.5,21,True
57,23.0,-1.0,11,True
58,21.0,-1.0,16,True
59,16.0,-2.0,14,True
60,17.0,-1.0,9,True
61,18.0,0.0,12,True
62,24.5,-1.5,18,True
63,20.0,0.0,6,True
64,24.5,-3.5,29,True
65,21.0,-1.0,19,True
66,27.5,-2.5,25,True
67,21.0,-1.0,10,True
68,18.5,-1.5,19,True
69,17.0,-1.0,5,True
70,29.5,-0.5,16,True
71,23.5,-2.5,19,True
72,24.0,0.0,12,True
73,15.5,-0.5,9,True
74,23.5,-0.5,9,True
75,21.5,-0.5,18,True
76,17.0,-1.0,6,True
77,20.0,0.0,8,True
78,18.0,0.0,7,True
79,18.0,0.0,7,True
80,20.0,0.0,11,True
81,24.0,0.0,14,True
82,17.0,-1.0,11,True
83,18.0,0.0,4,True
84,18.0,0.0,11,True
85,21.0,-1.0,14,True
86,22.0,0.0,16,True
87,18.0,0.0,7,True
88,23.0,-1.0,13,True
89,21.5,-0.5,21,True
90,25.5,-2.5,36,False
91,21.5,-0.5,10,True
92,22.0,0.0,13,True
93,22.0,0.0,13,True
94,15.5,-0.5,12,True
95,25.0,-1.0,16,True
96,21.0,-1.0,10,True
97,18.0,0.0,4,True
98,17.5,-0.5,8,True
99,22.5,-1.5,13,True
