,total_reward,negative_reward,trial_length,reached_destination
0,10.0,-10.0,36,False
1,21.5,-6.5,31,True
2,14.0,-2.0,9,True
3,17.5,0.0,11,True
4,15.5,-0.5,9,True
5,25.5,-0.5,10,True
6,21.5,-6.5,31,False
7,23.5,-0.5,19,True
8,23.0,-1.0,9,True
9,21.0,-3.0,26,False
10,22.0,-2.0,9,True
11,30.5,-3.5,29,True
12,20.0,0.0,13,True
13,16.5,-1.5,21,False
14,22.0,0.0,10,True
15,28.0,0.0,21,True
16,15.5,-0.5,4,True
17,20.0,-2.0,21,False
18,32.0,0.0,31,True
19,21.5,-2.5,26,False
20,24.0,-2.0,36,False
21,29.5,-0.5,22,True
22,23.5,-0.5,21,True
23,12.5,-3.5,21,False
24,17.0,-1.0,11,True
25,18.0,-2.0,26,False
26,27.5,-2.5,26,False
27,18.0,0.0,7,True
28,25.5,-0.5,18,True
29,29.5,-0.5,22,True
30,23.5,-0.5,16,True
31,18.0,0.0,7,True
32,19.5,-0.5,8,True
33,13.5,0.0,3,True
34,12.5,-1.5,21,False
35,19.0,-1.0,13,True
36,20.0,0.0,6,True
37,22.0,0.0,7,True
38,13.5,0.0,4,True
39,23.5,-0.5,19,True
40,18.0,-2.0,26,False
41,23.0,-1.0,25,True
42,22.0,-2.0,17,True
43,25.0,-3.0,14,True
44,13.0,-1.0,21,False
45,8.5,-1.5,21,False
46,22.0,0.0,9,True
47,38.5,-3.5,36,False
48,27.5,-2.5,26,False
49,18.0,0.0,5,True
50,26.0,0.0,21,True
51,24.0,-2.0,22,True
52,22.0,0.0,14,True
53,18.0,0.0,7,True
54,13.5,-2.5,21,False
55,38.0,-2.0,41,True
56,21.0,-0.5,14,True
57,11.0,-3.0,21,False
58,21.5,-0.5,13,True
59,18.0,-2.0,26,False
60,26.0,0.0,9,True
61,20.0,0.0,10,True
62,23.5,-0.5,18,True
63,31.5,-2.5,26,True
64,16.5,-1.5,21,False
65,34.5,-1.5,19,True
66,20.0,0.0,21,True
67,28.0,0.0,11,True
68,18.0,0.0,5,True
69,24.0,0.0,13,True
70,26.0,0.0,17,True
71,22.0,0.0,8,True
72,19.5,-0.5,19,True
73,20.0,0.0,6,True
74,25.5,-2.5,26,False
75,24.0,0.0,17,True
76,26.5,-1.5,36,False
77,22.5,-1.5,26,False
78,25.5,-0.5,18,True
79,23.5,-0.5,16,True
80,29.5,-0.5,19,True
81,10.5,-1.5,21,False
82,25.5,-0.5,14,True
83,27.0,-3.0,18,True
84,24.5,-1.5,26,True
85,13.5,-0.5,3,True
86,24.0,0.0,7,True
87,21.5,-0.5,16,True
88,26.0,0.0,10,True
89,26.0,-2.0,31,False
90,22.0,0.0,9,True
91,25.0,-3.0,21,True
92,27.0,-1.0,23,True
93,29.5,-2.5,26,False
94,17.0,-3.0,26,False
95,20.0,0.0,6,True
96,20.0,0.0,8,True
97,18.5,-1.0,17,True
98,30.0,-2.0,25,True
99,27.5,-0.5,22,True
