,total_reward,negative_reward,trial_length,reached_destination
0,-8.0,-18.0,41,False
1,6.5,-7.5,21,False
2,13.5,-12.5,33,True
3,3.0,-11.0,31,False
4,3.5,-8.5,26,False
5,17.0,-7.0,20,True
6,19.0,-7.0,31,True
7,23.5,-4.5,20,True
8,20.0,-4.0,26,False
9,20.5,-5.5,22,True
10,17.5,-6.5,23,True
11,13.5,-4.5,12,True
12,16.5,-5.5,19,True
13,26.0,-8.0,31,True
14,22.0,-2.0,14,True
15,21.5,-2.5,11,True
16,14.0,-4.0,25,True
17,23.0,-5.0,17,True
18,25.0,-1.0,13,True
19,35.5,-6.5,41,True
20,13.5,-2.5,8,True
21,18.0,0.0,4,True
22,23.0,-5.0,36,False
23,27.0,-3.0,18,True
24,15.5,-0.5,6,True
25,18.0,0.0,5,True
26,19.5,-0.5,6,True
27,19.0,-3.0,19,True
28,25.0,-1.0,14,True
29,21.5,-0.5,13,True
30,25.5,-0.5,10,True
31,26.0,0.0,13,True
32,17.5,-2.5,12,True
33,29.0,-3.0,26,True
34,18.0,0.0,8,True
35,30.5,-3.5,22,True
36,19.0,-3.0,16,True
37,14.5,-3.5,16,True
38,25.0,-1.0,14,True
39,23.0,-5.0,23,True
40,41.5,-2.5,35,True
41,23.0,-1.0,12,True
42,29.5,-0.5,14,True
43,23.5,-0.5,14,True
44,33.5,-2.5,20,True
45,22.5,-1.5,13,True
46,22.0,0.0,8,True
47,20.0,0.0,13,True
48,25.5,-0.5,15,True
49,20.0,-2.0,12,True
50,24.0,0.0,16,True
51,24.5,-1.5,20,True
52,24.5,-1.5,15,True
53,25.5,-0.5,10,True
54,18.0,0.0,10,True
55,34.0,-2.0,32,True
56,23.5,-0.5,14,True
57,19.0,-3.0,12,True
58,37.0,-1.0,22,True
59,26.0,0.0,19,True
60,34.0,0.0,22,True
61,19.0,-1.0,18,True
62,20.0,-2.0,21,False
63,22.0,0.0,12,True
64,32.5,-1.5,17,True
65,21.0,-1.0,16,True
66,25.5,-0.5,14,True
67,22.0,0.0,7,True
68,28.5,-3.5,26,True
69,19.0,-1.0,21,True
70,20.0,0.0,8,True
71,24.0,0.0,15,True
72,20.5,-3.5,21,True
73,24.0,0.0,7,True
74,18.0,0.0,7,True
75,18.0,0.0,5,True
76,19.0,-1.0,14,True
77,18.0,0.0,4,True
78,38.5,-1.5,25,True
79,16.0,0.0,3,True
80,22.0,0.0,10,True
81,22.0,0.0,11,True
82,32.5,-3.5,29,True
83,25.5,-2.5,24,True
84,25.5,-4.5,25,True
85,19.5,-0.5,11,True
86,24.0,-2.0,28,True
87,26.0,-2.0,16,True
88,25.5,-0.5,18,True
89,20.0,0.0,13,True
90,20.0,0.0,11,True
91,18.0,0.0,7,True
92,18.0,0.0,5,True
93,24.5,-1.5,21,True
94,23.0,-1.0,11,True
95,30.0,0.0,23,True
96,26.0,0.0,10,True
97,22.0,0.0,6,True
98,24.0,0.0,13,True
99,18.0,0.0,7,True
