,total_reward,negative_reward,trial_length,reached_destination
0,4.0,-10.0,21,False
1,-1.0,-9.0,26,False
2,10.5,-1.5,6,True
3,12.0,-2.0,7,True
4,22.5,-3.5,25,True
5,19.5,-2.5,17,True
6,14.0,-4.0,31,False
7,15.5,-0.5,6,True
8,22.0,-2.0,14,True
9,21.0,-1.0,21,False
10,20.5,-1.5,12,True
11,26.0,0.0,17,True
12,31.5,-4.5,31,True
13,25.0,-1.0,13,True
14,31.0,-1.0,16,True
15,19.5,-0.5,10,True
16,17.5,-0.5,8,True
17,18.0,0.0,9,True
18,10.5,-1.5,4,True
19,26.5,-1.5,22,True
20,22.0,0.0,6,True
21,18.0,0.0,8,True
22,14.0,0.0,2,True
23,28.5,-3.5,19,True
24,18.5,-3.5,31,False
25,17.0,-1.0,9,True
26,20.0,0.0,12,True
27,26.0,0.0,22,True
28,20.0,0.0,13,True
29,36.5,-3.5,36,True
30,23.5,-0.5,13,True
31,24.0,0.0,10,True
32,29.5,-0.5,23,True
33,19.5,-0.5,12,True
34,24.0,0.0,15,True
35,15.5,-0.5,4,True
36,30.0,0.0,22,True
37,24.0,0.0,11,True
38,18.0,0.0,10,True
39,16.5,-1.5,17,True
40,21.0,-1.0,14,True
41,15.5,-0.5,5,True
42,26.0,0.0,8,True
43,28.5,-1.5,15,True
44,26.5,-3.5,26,True
45,30.5,-1.5,14,True
46,24.0,0.0,10,True
47,23.5,-0.5,13,True
48,25.0,-1.0,17,True
49,22.0,0.0,11,True
50,27.0,-1.0,12,True
51,18.0,0.0,7,True
52,11.5,0.0,6,True
53,28.0,0.0,21,True
54,18.0,0.0,10,True
55,30.5,-1.5,19,True
56,22.0,0.0,13,True
57,27.0,-1.0,21,True
58,39.0,-1.0,25,True
59,33.0,-1.0,22,True
60,30.0,0.0,17,True
61,21.5,-0.5,14,True
62,20.5,-5.5,22,True
63,43.0,-9.0,46,False
64,33.0,-1.0,14,True
65,23.5,-0.5,8,True
66,18.0,0.0,4,True
67,34.0,-4.0,26,False
68,23.5,-0.5,8,True
69,33.5,-2.5,18,True
70,29.0,-3.0,19,True
71,28.5,-5.5,23,True
72,13.5,0.0,3,True
73,15.5,-2.5,9,True
74,17.5,-2.5,10,True
75,14.0,0.0,2,True
76,25.0,-1.0,10,True
77,24.5,-9.5,36,False
78,17.0,-1.0,8,True
79,28.5,-1.5,20,True
80,25.5,-0.5,12,True
81,30.0,-2.0,21,True
82,27.5,-0.5,16,True
83,20.0,0.0,6,True
84,25.5,-0.5,17,True
85,29.5,-0.5,21,True
86,27.5,-0.5,16,True
87,22.5,-1.5,21,True
88,27.5,-2.5,16,True
89,26.0,0.0,14,True
90,37.5,-2.5,23,True
91,22.0,0.0,10,True
92,25.5,-0.5,15,True
93,21.5,-0.5,7,True
94,22.5,-1.5,16,True
95,24.0,0.0,17,True
96,32.0,-4.0,41,True
97,18.0,0.0,7,True
98,18.0,0.0,8,True
99,28.5,-3.5,26,True
