,total_reward,negative_reward,trial_length,reached_destination
0,-7.5,-11.5,21,False
1,5.0,-7.0,26,False
2,11.0,-7.0,21,True
3,17.5,-12.5,44,True
4,14.0,-10.0,30,True
5,14.0,-10.0,26,True
6,16.0,-8.0,23,True
7,13.5,-6.0,19,True
8,9.0,-7.0,21,False
9,15.5,-20.5,50,True
10,18.5,-3.5,21,True
11,10.0,-12.0,41,True
12,15.5,-0.5,9,True
13,18.0,0.0,5,True
14,19.5,-6.5,26,True
15,22.5,-5.5,28,True
16,25.0,-3.0,23,True
17,7.5,-4.5,26,False
18,12.0,-2.0,21,False
19,19.5,-0.5,11,True
20,23.0,-3.0,25,True
21,28.5,-3.5,26,True
22,27.0,-1.0,20,True
23,17.0,-1.0,21,False
24,28.5,-1.5,28,True
25,14.0,-2.0,10,True
26,17.0,-1.0,11,True
27,22.5,-1.5,12,True
28,18.0,0.0,5,True
29,37.5,-2.5,30,True
30,23.5,-0.5,21,False
31,18.0,0.0,13,True
32,25.0,-1.0,18,True
33,36.0,-2.0,28,True
34,23.5,-0.5,20,True
35,15.5,-0.5,5,True
36,16.5,-3.5,21,False
37,22.5,-1.5,14,True
38,12.5,-1.5,8,True
39,22.0,-4.0,18,True
40,18.0,0.0,6,True
41,24.0,0.0,16,True
42,17.0,-1.0,6,True
43,20.0,0.0,7,True
44,20.0,0.0,16,True
45,22.0,0.0,8,True
46,23.0,-1.0,14,True
47,21.0,-1.0,12,True
48,29.0,-3.0,31,True
49,22.0,0.0,11,True
50,21.0,-3.0,22,True
51,27.0,-1.0,20,True
52,26.5,-1.5,29,True
53,22.0,-2.0,16,True
54,23.0,-1.0,11,True
55,30.0,-2.0,17,True
56,23.5,-0.5,14,True
57,28.0,-2.0,21,True
58,22.0,0.0,17,True
59,16.0,-2.0,16,True
60,25.5,-0.5,13,True
61,18.0,0.0,13,True
62,21.5,-2.5,12,True
63,24.0,-2.0,16,True
64,30.0,-4.0,34,True
65,20.0,0.0,10,True
66,29.5,-0.5,22,True
67,27.5,-0.5,17,True
68,21.5,-2.5,23,True
69,23.0,-1.0,9,True
70,18.0,0.0,13,True
71,32.0,-2.0,26,True
72,24.0,0.0,11,True
73,20.0,0.0,8,True
74,25.5,-0.5,19,True
75,33.5,-0.5,29,True
76,21.0,-1.0,9,True
77,25.0,-1.0,18,True
78,24.0,0.0,10,True
79,22.0,0.0,13,True
80,27.5,-0.5,22,True
81,21.0,-1.0,11,True
82,19.0,-1.0,13,True
83,19.5,-0.5,12,True
84,28.0,0.0,21,True
85,22.0,0.0,10,True
86,32.0,0.0,23,True
87,24.0,0.0,19,True
88,19.0,-1.0,16,True
89,17.0,-1.0,6,True
90,25.5,-0.5,17,True
91,30.5,-1.5,17,True
92,17.5,-0.5,10,True
93,15.5,-0.5,5,True
94,26.0,0.0,13,True
95,19.5,-0.5,8,True
96,29.5,-0.5,22,True
97,27.5,-0.5,14,True
98,26.0,0.0,13,True
99,20.0,0.0,11,True
