,total_reward,negative_reward,trial_length,reached_destination
0,10.5,-11.5,27,True
1,5.5,-6.5,26,False
2,8.0,-16.0,36,False
3,7.5,-10.5,26,True
4,12.5,-9.5,36,False
5,4.0,-6.0,21,False
6,-0.5,-10.5,26,False
7,16.0,-2.0,11,True
8,12.5,-5.5,26,False
9,16.5,-7.0,27,True
10,25.5,-4.5,34,True
11,23.0,-5.0,26,True
12,14.5,-3.5,26,False
13,21.0,-1.0,14,True
14,22.5,-1.5,18,True
15,21.5,-0.5,10,True
16,20.0,0.0,11,True
17,25.5,-4.5,25,True
18,22.0,0.0,11,True
19,24.5,-3.5,24,True
20,18.0,-4.0,16,True
21,28.0,-4.0,26,True
22,22.5,-5.5,22,True
23,24.5,-1.5,13,True
24,12.0,-2.0,4,True
25,21.0,-1.0,14,True
26,21.0,-3.0,26,False
27,23.0,-5.0,23,True
28,17.0,-5.0,26,False
29,19.5,-4.5,17,True
30,24.5,-1.5,24,True
31,20.5,-1.5,18,True
32,28.5,-1.5,16,True
33,29.0,-1.0,13,True
34,21.5,-2.5,11,True
35,16.5,-1.5,8,True
36,18.0,0.0,9,True
37,15.5,-0.5,4,True
38,24.0,-2.0,21,True
39,38.5,-1.5,21,True
40,31.5,-2.5,22,True
41,15.5,-0.5,11,True
42,42.5,-3.5,29,True
43,19.5,-0.5,12,True
44,19.0,-3.0,19,True
45,18.0,0.0,4,True
46,25.0,-1.0,14,True
47,18.5,-1.5,21,False
48,25.0,-3.0,31,False
49,23.5,-0.5,8,True
50,39.0,-7.0,28,True
51,22.0,0.0,13,True
52,30.0,-2.0,18,True
53,18.0,0.0,7,True
54,30.5,-3.5,25,True
55,22.0,0.0,13,True
56,20.0,0.0,11,True
57,31.0,-7.0,25,True
58,26.0,0.0,9,True
59,26.0,-2.0,19,True
60,23.5,-2.5,14,True
61,38.5,-1.5,19,True
62,29.0,-1.0,16,True
63,24.5,-1.5,14,True
64,27.0,-1.0,21,True
65,29.5,-2.5,31,True
66,18.0,0.0,6,True
67,19.5,-0.5,16,True
68,22.0,0.0,12,True
69,22.0,-2.0,26,False
70,23.5,-0.5,13,True
71,22.0,0.0,17,True
72,23.5,-0.5,8,True
73,26.0,0.0,13,True
74,20.0,0.0,12,True
75,20.0,0.0,16,True
76,18.0,0.0,5,True
77,18.0,0.0,21,False
78,37.5,-2.5,29,True
79,19.5,-0.5,13,True
80,16.5,-1.5,21,False
81,22.0,0.0,9,True
82,20.0,0.0,7,True
83,26.5,-3.5,22,True
84,22.0,0.0,9,True
85,18.0,0.0,4,True
86,26.0,0.0,14,True
87,22.0,0.0,6,True
88,18.0,0.0,5,True
89,26.0,0.0,16,True
90,20.0,0.0,12,True
91,20.0,0.0,5,True
92,18.0,0.0,4,True
93,22.5,-1.5,12,True
94,18.5,-1.5,11,True
95,20.0,0.0,11,True
96,18.0,-2.0,13,True
97,46.0,-4.0,29,True
98,26.5,-3.5,23,True
99,20.0,0.0,9,True
