,total_reward,negative_reward,trial_length,reached_destination
0,10.0,-8.0,36,False
1,20.0,0.0,6,True
2,18.0,0.0,8,True
3,24.0,-2.0,11,True
4,18.0,0.0,4,True
5,19.5,-2.5,26,False
6,21.0,-3.0,26,False
7,27.0,-1.0,21,True
8,18.0,0.0,6,True
9,19.5,-0.5,10,True
10,22.0,0.0,9,True
11,36.5,-3.5,36,False
12,19.0,-1.0,10,True
13,22.0,0.0,10,True
14,14.5,-1.5,26,False
15,42.5,-3.5,41,False
16,26.5,-3.5,41,False
17,18.0,0.0,10,True
18,20.0,-2.0,26,False
19,31.0,-1.0,13,True
20,17.0,-1.0,13,True
21,20.0,0.0,12,True
22,24.0,0.0,15,True
23,22.0,0.0,14,True
24,22.0,0.0,10,True
25,22.0,0.0,9,True
26,18.0,0.0,6,True
27,25.5,-4.5,16,True
28,18.0,0.0,8,True
29,24.0,0.0,13,True
30,24.0,0.0,16,True
31,22.0,0.0,11,True
32,24.0,0.0,10,True
33,32.0,-2.0,17,True
34,22.0,0.0,8,True
35,27.0,-1.0,21,True
36,18.0,0.0,11,True
37,27.5,-0.5,22,True
38,30.5,-1.5,20,True
39,24.0,0.0,14,True
40,25.5,-0.5,9,True
41,30.0,0.0,16,True
42,31.5,-0.5,26,True
43,23.0,-3.0,16,True
44,27.0,-1.0,12,True
45,29.0,-1.0,14,True
46,20.0,0.0,11,True
47,26.5,-1.5,22,True
48,23.5,-0.5,8,True
49,28.5,-1.5,21,True
50,26.0,0.0,16,True
51,25.5,-0.5,13,True
52,27.5,-0.5,21,True
53,26.0,0.0,22,True
54,26.5,-1.5,18,True
55,25.5,-0.5,13,True
56,13.5,0.0,6,True
57,37.0,-3.0,20,True
58,20.0,0.0,13,True
59,24.0,0.0,13,True
60,20.0,0.0,12,True
61,22.0,0.0,9,True
62,26.0,-2.0,19,True
63,22.0,0.0,13,True
64,29.5,-0.5,15,True
65,21.5,-0.5,14,True
66,23.0,-1.0,16,True
67,32.0,0.0,22,True
68,17.5,-0.5,11,True
69,27.5,-0.5,13,True
70,22.0,0.0,6,True
71,28.0,0.0,16,True
72,38.0,-2.0,26,True
73,31.0,-1.0,23,True
74,20.0,0.0,10,True
75,22.0,0.0,6,True
76,18.0,0.0,4,True
77,19.0,-3.0,14,True
78,20.0,0.0,9,True
79,28.0,0.0,22,True
80,25.5,-0.5,9,True
81,24.0,0.0,12,True
82,18.0,0.0,9,True
83,33.5,-0.5,25,True
84,20.0,0.0,17,True
85,27.5,-0.5,14,True
86,22.0,0.0,10,True
87,20.0,0.0,5,True
88,26.0,0.0,9,True
89,20.0,0.0,13,True
90,23.0,-1.0,9,True
91,31.0,-1.0,20,True
92,26.0,0.0,21,True
93,35.5,-0.5,25,True
94,24.0,0.0,13,True
95,19.5,-0.5,9,True
96,24.0,0.0,7,True
97,35.5,-0.5,21,True
98,24.0,0.0,16,True
99,26.5,-1.5,16,True
