,total_reward,negative_reward,trial_length,reached_destination
0,12.5,-19.5,41,True
1,26.5,-5.5,21,True
2,20.0,0.0,9,True
3,20.5,-3.5,20,True
4,27.5,-4.5,25,True
5,20.0,0.0,9,True
6,22.0,0.0,14,True
7,28.0,0.0,13,True
8,33.0,-1.0,25,True
9,18.0,0.0,13,True
10,17.0,-1.0,10,True
11,21.0,-1.0,11,True
12,31.0,-1.0,15,True
13,18.0,0.0,7,True
14,17.0,-1.0,13,True
15,18.0,0.0,7,True
16,18.0,0.0,11,True
17,27.5,-0.5,22,True
18,27.0,-1.0,25,True
19,18.0,0.0,5,True
20,28.0,0.0,16,True
21,30.0,0.0,18,True
22,18.0,0.0,9,True
23,27.0,-1.0,17,True
24,22.0,0.0,9,True
25,17.0,-1.0,10,True
26,20.0,0.0,10,True
27,21.5,-0.5,11,True
28,24.0,0.0,25,True
29,22.0,0.0,12,True
30,37.5,-2.5,37,True
31,28.0,0.0,22,True
32,29.5,-0.5,28,True
33,22.0,0.0,21,True
34,18.0,0.0,16,True
35,22.0,0.0,10,True
36,24.0,0.0,12,True
37,20.0,0.0,8,True
38,28.0,0.0,13,True
39,28.0,0.0,21,True
40,26.0,0.0,16,True
41,25.0,-1.0,16,True
42,28.0,0.0,14,True
43,24.0,0.0,17,True
44,22.0,0.0,13,True
45,22.0,0.0,11,True
46,18.0,0.0,16,True
47,20.0,0.0,11,True
48,22.0,0.0,7,True
49,22.0,0.0,13,True
50,15.5,-0.5,16,True
51,21.5,-0.5,17,True
52,22.0,0.0,10,True
53,24.0,0.0,11,True
54,24.0,0.0,13,True
55,19.5,-2.5,12,True
56,24.0,0.0,17,True
57,23.5,-0.5,11,True
58,25.5,-0.5,14,True
59,25.5,-0.5,14,True
60,31.0,-1.0,22,True
61,29.5,-0.5,22,True
62,31.5,-0.5,21,True
63,29.5,-0.5,21,True
64,33.5,-0.5,26,True
65,22.0,0.0,17,True
66,20.0,0.0,10,True
67,20.0,0.0,13,True
68,22.5,-1.5,23,True
69,18.0,0.0,10,True
70,18.0,0.0,5,True
71,24.0,0.0,13,True
72,18.0,0.0,7,True
73,18.0,0.0,10,True
74,18.0,0.0,11,True
75,31.5,-2.5,34,True
76,17.5,-0.5,6,True
77,27.0,-1.0,19,True
78,18.0,0.0,4,True
79,24.0,0.0,17,True
80,32.0,0.0,26,True
81,24.0,0.0,14,True
82,20.0,0.0,8,True
83,19.0,-1.0,9,True
84,20.0,0.0,9,True
85,20.0,0.0,14,True
86,18.0,0.0,10,True
87,26.0,0.0,13,True
88,24.0,0.0,12,True
89,19.0,-1.0,16,True
90,20.0,0.0,6,True
91,27.0,-1.0,17,True
92,22.0,0.0,17,True
93,26.0,0.0,16,True
94,20.0,0.0,8,True
95,18.0,0.0,13,True
96,22.0,0.0,17,True
97,22.0,0.0,13,True
98,18.0,0.0,10,True
99,24.0,0.0,16,True
