,total_reward,negative_reward,trial_length,reached_destination
0,13.5,-6.5,18,True
1,9.5,-4.5,21,False
2,7.5,-2.5,21,False
3,3.5,-2.5,51,False
4,29.0,-1.0,19,True
5,7.0,-1.0,21,False
6,0.0,0.0,21,False
7,23.5,-0.5,16,True
8,6.0,0.0,26,False
9,4.0,-2.0,26,False
10,26.0,0.0,21,True
11,22.0,0.0,10,True
12,12.0,0.0,41,False
13,10.0,0.0,46,False
14,22.0,0.0,13,True
15,0.0,0.0,46,False
16,9.5,-0.5,26,False
17,11.0,-3.0,31,False
18,0.0,0.0,36,False
19,0.0,0.0,21,False
20,18.0,0.0,4,True
21,0.0,0.0,36,False
22,0.0,0.0,21,False
23,7.5,-0.5,36,False
24,23.0,-1.0,33,True
25,18.0,0.0,6,True
26,30.0,0.0,16,True
27,28.0,0.0,16,True
28,18.0,0.0,6,True
29,27.5,-0.5,16,True
30,24.0,0.0,19,True
31,20.0,0.0,11,True
32,19.0,-3.0,18,True
33,22.0,0.0,7,True
34,21.5,-0.5,12,True
35,28.0,0.0,21,True
36,23.5,-0.5,14,True
37,20.0,0.0,10,True
38,22.0,0.0,11,True
39,17.5,-0.5,11,True
40,28.0,0.0,25,True
41,20.0,0.0,7,True
42,20.0,0.0,12,True
43,22.0,0.0,9,True
44,24.0,0.0,17,True
45,26.0,0.0,14,True
46,18.0,0.0,14,True
47,19.0,-1.0,11,True
48,19.0,-1.0,11,True
49,18.0,0.0,7,True
50,18.0,0.0,7,True
51,18.0,0.0,6,True
52,22.0,0.0,10,True
53,18.0,0.0,9,True
54,25.0,-1.0,16,True
55,23.0,-1.0,10,True
56,26.0,0.0,21,True
57,30.0,0.0,26,True
58,23.5,-0.5,17,True
59,18.0,0.0,10,True
60,18.0,0.0,7,True
61,20.0,0.0,5,True
62,18.0,0.0,4,True
63,30.0,0.0,21,True
64,22.0,0.0,10,True
65,26.0,0.0,16,True
66,19.0,-1.0,7,True
67,20.0,0.0,9,True
68,22.0,0.0,11,True
69,18.0,0.0,4,True
70,17.0,-1.0,12,True
71,22.0,0.0,6,True
72,24.0,0.0,16,True
73,22.0,0.0,9,True
74,24.0,0.0,10,True
75,25.5,-0.5,13,True
76,18.0,0.0,7,True
77,24.0,0.0,16,True
78,24.0,0.0,9,True
79,22.0,0.0,7,True
80,25.0,-1.0,11,True
81,22.0,0.0,9,True
82,20.0,-4.0,16,True
83,18.0,0.0,16,True
84,22.0,0.0,13,True
85,31.5,-2.5,22,True
86,27.5,-0.5,24,True
87,20.5,-3.5,21,True
88,33.0,-1.0,21,True
89,24.0,0.0,10,True
90,23.5,-2.5,24,True
91,20.0,0.0,9,True
92,26.0,0.0,21,True
93,24.0,0.0,26,True
94,33.0,-1.0,31,True
95,20.0,0.0,9,True
96,22.0,0.0,11,True
97,20.0,0.0,11,True
98,22.0,0.0,14,True
99,24.0,0.0,14,True
