,total_reward,negative_reward,trial_length,reached_destination
0,-9.5,-17.5,41,False
1,14.0,-12.0,28,True
2,23.0,-17.0,49,True
3,8.5,-11.5,36,False
4,1.0,-13.0,26,True
5,20.0,-10.0,31,True
6,14.0,-10.0,46,False
7,29.0,-5.0,31,True
8,19.5,-0.5,14,True
9,17.0,-1.0,7,True
10,23.5,-4.5,24,True
11,20.0,-4.0,16,True
12,20.5,-1.5,9,True
13,22.5,-1.5,16,True
14,24.0,-4.0,22,True
15,22.0,-4.0,27,True
16,24.5,-1.5,20,True
17,22.0,-2.0,21,False
18,21.0,-1.0,11,True
19,26.0,-6.0,26,True
20,20.0,-2.0,17,True
21,21.5,-2.5,14,True
22,20.5,-5.0,26,True
23,23.5,-2.5,14,True
24,17.5,-0.5,11,True
25,11.5,0.0,10,True
26,23.0,-1.0,13,True
27,23.0,-1.0,17,True
28,20.0,0.0,9,True
29,24.0,-4.0,20,True
30,26.5,-1.5,31,True
31,24.5,-1.5,18,True
32,18.0,0.0,7,True
33,21.0,-1.0,15,True
34,24.0,0.0,16,True
35,15.5,-0.5,21,True
36,17.0,-1.0,10,True
37,20.0,0.0,5,True
38,24.0,0.0,11,True
39,18.0,-2.0,16,True
40,19.0,-1.0,18,True
41,27.5,-2.5,26,True
42,22.5,-1.5,16,True
43,28.0,-2.0,19,True
44,24.5,-1.5,17,True
45,26.5,-1.5,17,True
46,26.0,0.0,17,True
47,20.0,0.0,11,True
48,18.0,0.0,7,True
49,22.0,0.0,13,True
50,15.5,-2.5,19,True
51,18.0,0.0,4,True
52,30.0,0.0,22,True
53,23.0,-1.0,17,True
54,18.0,0.0,4,True
55,30.0,-2.0,31,True
56,27.0,-1.0,14,True
57,34.0,-2.0,30,True
58,30.0,-2.0,20,True
59,18.0,0.0,9,True
60,16.5,-3.5,41,False
61,19.5,-0.5,17,True
62,18.0,0.0,8,True
63,20.0,0.0,5,True
64,18.0,0.0,6,True
65,25.0,-3.0,21,True
66,22.0,0.0,8,True
67,21.0,-1.0,19,True
68,20.0,-2.0,19,True
69,18.0,0.0,4,True
70,13.5,-0.5,3,True
71,21.0,-1.0,26,True
72,22.0,0.0,13,True
73,28.0,0.0,21,True
74,22.0,0.0,6,True
75,22.0,0.0,11,True
76,22.0,0.0,8,True
77,22.0,0.0,13,True
78,27.5,-2.5,25,True
79,21.0,-1.0,12,True
80,32.0,0.0,20,True
81,27.5,-0.5,21,True
82,20.0,0.0,13,True
83,26.0,0.0,13,True
84,22.0,0.0,6,True
85,20.0,0.0,9,True
86,24.0,0.0,13,True
87,22.0,0.0,8,True
88,21.5,-0.5,17,True
89,19.0,-1.0,16,True
90,28.0,0.0,14,True
91,19.0,-1.0,7,True
92,28.0,0.0,31,True
93,28.0,0.0,27,True
94,23.5,-0.5,13,True
95,23.5,-0.5,17,True
96,24.0,0.0,20,True
97,25.0,-1.0,13,True
98,22.0,0.0,17,True
99,27.5,-0.5,21,True
