,total_reward,negative_reward,trial_length,reached_destination
0,-3.0,-9.0,21,False
1,6.0,-8.0,26,False
2,9.0,-9.0,31,False
3,3.5,-12.5,36,False
4,13.5,-4.5,12,True
5,12.0,-6.0,16,True
6,6.5,-15.5,32,True
7,8.5,-7.5,26,False
8,17.0,-5.0,21,False
9,20.5,-7.5,36,False
10,16.5,-5.5,21,True
11,7.0,-11.0,41,False
12,16.0,-8.0,24,True
13,18.5,-15.5,45,True
14,33.5,-4.5,26,True
15,27.0,-3.0,17,True
16,22.5,-1.5,13,True
17,20.0,-2.0,14,True
18,29.0,-11.0,37,True
19,32.5,-3.5,21,True
20,35.0,-3.0,22,True
21,17.0,-1.0,9,True
22,17.0,-1.0,6,True
23,19.5,-2.5,24,True
24,19.0,-1.0,13,True
25,15.0,-1.0,21,False
26,29.0,-5.0,30,True
27,19.5,-2.5,9,True
28,20.0,0.0,5,True
29,24.5,-3.5,26,True
30,38.0,-2.0,21,True
31,20.5,-3.5,18,True
32,32.5,-3.5,31,True
33,16.5,-1.5,9,True
34,18.0,-4.0,16,True
35,17.0,-1.0,5,True
36,7.0,-2.5,6,True
37,23.5,-4.5,30,True
38,24.0,-2.0,22,True
39,21.5,-0.5,8,True
40,28.5,-1.5,29,True
41,13.0,-3.0,26,False
42,24.5,-1.5,21,True
43,20.5,-1.5,12,True
44,22.5,-1.5,13,True
45,24.0,0.0,8,True
46,27.5,-0.5,10,True
47,24.0,-2.0,21,True
48,15.5,-0.5,8,True
49,12.5,-1.0,10,True
50,15.5,-0.5,5,True
51,15.5,-0.5,7,True
52,19.5,-2.5,26,False
53,15.5,-0.5,7,True
54,24.0,0.0,11,True
55,22.0,-2.0,20,True
56,27.0,-1.0,26,True
57,26.0,-4.0,25,True
58,21.5,-2.5,21,True
59,31.5,-0.5,15,True
60,30.0,-2.0,19,True
61,24.0,-2.0,19,True
62,28.0,0.0,18,True
63,18.0,0.0,7,True
64,18.0,0.0,4,True
65,23.0,-1.0,17,True
66,18.5,-1.5,13,True
67,19.0,-1.0,8,True
68,18.0,0.0,7,True
69,17.0,-1.0,7,True
70,21.0,-1.0,14,True
71,15.5,-0.5,5,True
72,20.5,-1.5,10,True
73,24.0,-2.0,17,True
74,29.5,-0.5,16,True
75,23.0,-1.0,14,True
76,13.5,-2.5,31,False
77,17.0,-1.0,5,True
78,21.5,-0.5,18,True
79,18.0,0.0,8,True
80,22.0,0.0,11,True
81,28.5,-1.5,27,True
82,19.5,-0.5,16,True
83,17.0,-1.0,6,True
84,20.0,0.0,12,True
85,18.0,0.0,7,True
86,22.0,0.0,21,True
87,20.0,-2.0,16,True
88,20.0,0.0,12,True
89,18.0,0.0,4,True
90,15.5,-0.5,7,True
91,14.5,-1.5,26,False
92,18.5,-1.5,13,True
93,28.0,-2.0,14,True
94,18.0,0.0,5,True
95,28.0,0.0,13,True
96,36.0,-2.0,22,True
97,31.5,-4.5,32,True
98,20.0,0.0,13,True
99,21.0,-1.0,16,True
