,total_reward,negative_reward,trial_length,reached_destination
0,-2.5,-22.5,39,True
1,6.5,-9.5,26,False
2,1.0,-11.0,36,False
3,12.5,-11.5,30,True
4,6.5,-5.5,21,False
5,10.0,-2.0,6,True
6,15.5,-8.5,40,True
7,18.5,-7.5,34,True
8,9.0,-7.0,51,False
9,19.0,-5.0,19,True
10,20.0,-2.0,13,True
11,17.0,-3.0,19,True
12,21.5,-4.5,31,True
13,18.5,-1.5,16,True
14,15.0,-1.0,7,True
15,21.0,-1.0,11,True
16,26.0,-4.0,24,True
17,10.0,-4.0,21,False
18,25.5,-0.5,15,True
19,22.0,0.0,6,True
20,29.0,-1.0,16,True
21,18.0,-6.0,36,False
22,26.0,0.0,19,True
23,21.5,-0.5,21,True
24,25.5,-2.5,27,True
25,11.0,-3.0,12,True
26,13.5,-2.5,7,True
27,22.0,0.0,16,True
28,20.0,0.0,13,True
29,22.0,-4.0,26,True
30,22.0,0.0,13,True
31,30.0,-2.0,20,True
32,24.0,0.0,14,True
33,24.0,0.0,10,True
34,18.5,-1.5,12,True
35,27.0,-3.0,27,True
36,22.0,0.0,11,True
37,18.0,0.0,5,True
38,9.5,-0.5,21,False
39,28.0,0.0,16,True
40,26.0,-2.0,22,True
41,21.5,-0.5,10,True
42,17.0,-1.0,21,False
43,25.5,-0.5,16,True
44,20.0,0.0,11,True
45,18.0,-2.0,21,True
46,18.0,0.0,9,True
47,20.0,0.0,9,True
48,28.0,0.0,19,True
49,28.0,0.0,14,True
50,18.5,-1.5,11,True
51,35.5,-0.5,31,True
52,25.5,-0.5,25,True
53,20.5,-1.5,13,True
54,22.5,-1.5,9,True
55,25.5,-0.5,14,True
56,20.0,0.0,9,True
57,23.5,-0.5,13,True
58,26.0,0.0,19,True
59,18.0,0.0,11,True
60,18.0,0.0,6,True
61,31.5,-0.5,25,True
62,24.0,0.0,10,True
63,26.0,-2.0,25,True
64,20.0,0.0,16,True
65,20.0,0.0,12,True
66,21.0,-1.0,19,True
67,22.0,0.0,7,True
68,17.0,-1.0,6,True
69,20.0,0.0,7,True
70,18.0,-2.0,9,True
71,20.0,0.0,16,True
72,20.0,0.0,5,True
73,17.0,-1.0,7,True
74,26.0,0.0,11,True
75,26.0,0.0,9,True
76,20.0,0.0,7,True
77,24.0,0.0,12,True
78,18.0,0.0,13,True
79,20.0,0.0,9,True
80,24.0,0.0,11,True
81,17.5,-0.5,8,True
82,23.5,-0.5,10,True
83,21.5,-0.5,10,True
84,17.0,-1.0,7,True
85,25.5,-0.5,21,True
86,27.0,-1.0,21,True
87,28.0,0.0,17,True
88,44.0,-2.0,33,True
89,27.0,-1.0,16,True
90,28.0,0.0,14,True
91,20.0,0.0,13,True
92,11.5,-0.5,2,True
93,22.5,-1.5,13,True
94,20.0,0.0,9,True
95,32.0,0.0,34,True
96,18.0,0.0,7,True
97,24.5,-1.5,18,True
98,20.0,0.0,12,True
99,22.0,0.0,9,True
