,total_reward,negative_reward,trial_length,reached_destination
0,12.0,-6.0,19,True
1,24.5,-3.5,19,True
2,12.5,-1.0,5,True
3,11.0,-3.0,5,True
4,16.0,-2.0,11,True
5,26.5,-5.5,37,True
6,23.0,-1.0,16,True
7,28.5,-3.5,22,True
8,24.0,0.0,11,True
9,26.0,-2.0,19,True
10,25.5,-0.5,23,True
11,14.5,-1.5,26,False
12,16.0,0.0,5,True
13,33.0,-1.0,26,True
14,35.5,-0.5,18,True
15,21.0,-1.0,9,True
16,28.5,-1.5,21,True
17,20.0,0.0,12,True
18,25.5,-0.5,13,True
19,25.0,-1.0,26,True
20,20.0,0.0,9,True
21,21.5,-2.5,13,True
22,20.0,0.0,13,True
23,20.0,0.0,12,True
24,26.0,0.0,11,True
25,24.5,-1.5,36,False
26,18.5,-1.5,14,True
27,18.0,0.0,5,True
28,30.0,0.0,14,True
29,33.5,-2.5,31,True
30,27.5,-0.5,25,True
31,22.0,0.0,9,True
32,20.0,0.0,13,True
33,26.0,0.0,10,True
34,25.5,-0.5,17,True
35,18.0,0.0,7,True
36,29.5,-0.5,16,True
37,20.0,0.0,8,True
38,28.0,0.0,17,True
39,20.0,0.0,17,True
40,19.5,0.0,13,True
41,20.0,0.0,8,True
42,29.5,-2.5,34,True
43,17.0,-1.0,13,True
44,19.0,-1.0,12,True
45,18.0,0.0,6,True
46,18.0,0.0,13,True
47,17.5,-0.5,16,True
48,17.0,-1.0,16,True
49,22.0,0.0,17,True
50,24.0,0.0,11,True
51,37.5,-0.5,25,True
52,23.0,-1.0,14,True
53,24.0,0.0,17,True
54,18.0,0.0,7,True
55,20.0,0.0,12,True
56,18.0,0.0,7,True
57,17.0,-1.0,9,True
58,18.0,0.0,9,True
59,18.0,0.0,7,True
60,28.0,-2.0,25,True
61,22.0,0.0,12,True
62,22.0,0.0,13,True
63,25.0,-1.0,27,True
64,22.0,0.0,16,True
65,22.0,0.0,16,True
66,18.0,0.0,11,True
67,24.0,0.0,19,True
68,23.0,-1.0,12,True
69,21.0,-1.0,9,True
70,24.0,0.0,8,True
71,25.5,-0.5,26,True
72,20.0,0.0,13,True
73,26.0,0.0,14,True
74,20.5,-1.5,16,True
75,18.0,0.0,7,True
76,19.5,-0.5,11,True
77,18.0,0.0,7,True
78,20.0,0.0,18,True
79,20.0,0.0,17,True
80,18.0,0.0,11,True
81,31.5,-0.5,14,True
82,18.0,0.0,9,True
83,29.0,-1.0,31,True
84,25.5,-0.5,14,True
85,20.0,0.0,9,True
86,24.0,0.0,16,True
87,28.0,-2.0,27,True
88,20.5,-1.5,12,True
89,28.0,0.0,19,True
90,23.5,-0.5,13,True
91,31.0,-1.0,19,True
92,18.0,0.0,13,True
93,24.0,0.0,21,True
94,20.0,0.0,16,True
95,18.0,0.0,11,True
96,30.0,0.0,20,True
97,28.0,0.0,28,True
98,20.0,0.0,7,True
99,18.0,0.0,4,True
