,total_reward,negative_reward,trial_length,reached_destination
0,14.0,-2.0,6,True
1,16.0,-6.0,26,False
2,31.0,-1.0,25,True
3,21.0,-1.0,11,True
4,25.0,-1.0,21,True
5,18.0,0.0,4,True
6,18.0,0.0,10,True
7,18.0,0.0,9,True
8,30.0,0.0,18,True
9,19.5,-0.5,18,True
10,22.0,0.0,8,True
11,25.5,-0.5,15,True
12,21.0,-1.0,13,True
13,18.0,0.0,6,True
14,22.0,0.0,16,True
15,26.0,-2.0,11,True
16,18.0,0.0,7,True
17,22.0,0.0,15,True
18,26.0,0.0,13,True
19,20.0,0.0,6,True
20,24.0,0.0,13,True
21,21.0,-1.0,9,True
22,20.0,0.0,12,True
23,23.0,-1.0,13,True
24,22.0,0.0,10,True
25,20.0,0.0,11,True
26,30.0,0.0,21,True
27,37.5,-0.5,36,True
28,18.0,0.0,5,True
29,25.0,-1.0,14,True
30,28.0,0.0,16,True
31,26.0,0.0,16,True
32,22.0,0.0,18,True
33,24.0,0.0,14,True
34,15.5,-0.5,6,True
35,22.0,0.0,15,True
36,20.0,0.0,7,True
37,14.5,-1.5,8,True
38,26.0,0.0,19,True
39,26.0,0.0,18,True
40,18.0,0.0,13,True
41,24.0,0.0,11,True
42,31.0,-1.0,36,True
43,18.0,0.0,8,True
44,20.0,0.0,7,True
45,22.0,0.0,16,True
46,20.0,0.0,7,True
47,18.0,0.0,5,True
48,19.0,-1.0,9,True
49,24.0,0.0,15,True
50,18.0,0.0,21,False
51,22.0,0.0,14,True
52,16.0,0.0,3,True
53,20.0,0.0,10,True
54,18.0,0.0,13,True
55,24.0,0.0,10,True
56,19.5,-0.5,31,False
57,20.0,0.0,9,True
58,24.0,0.0,14,True
59,24.0,0.0,13,True
60,18.0,0.0,5,True
61,18.0,0.0,4,True
62,18.0,0.0,7,True
63,18.0,0.0,7,True
64,28.0,0.0,21,True
65,21.5,-0.5,11,True
66,23.0,-1.0,13,True
67,25.0,-1.0,11,True
68,22.0,0.0,13,True
69,31.0,-1.0,20,True
70,29.5,-0.5,17,True
71,11.5,-2.5,6,True
72,29.5,-0.5,13,True
73,24.0,0.0,14,True
74,22.0,0.0,11,True
75,22.0,0.0,18,True
76,20.0,0.0,10,True
77,18.0,0.0,12,True
78,20.0,0.0,9,True
79,20.0,0.0,7,True
80,26.0,0.0,21,True
81,22.0,0.0,13,True
82,20.5,-1.5,11,True
83,18.0,0.0,10,True
84,28.0,0.0,26,True
85,22.0,0.0,16,True
86,22.0,0.0,8,True
87,18.0,0.0,17,True
88,18.0,0.0,11,True
89,23.5,-0.5,28,True
90,17.0,-1.0,16,True
91,20.0,0.0,16,True
92,20.0,0.0,9,True
93,18.0,0.0,14,True
94,18.0,0.0,5,True
95,26.0,0.0,22,True
96,24.0,0.0,14,True
97,32.0,0.0,26,True
98,22.0,0.0,8,True
99,18.0,0.0,4,True
