,total_reward,negative_reward,trial_length,reached_destination
0,4.0,-16.0,41,False
1,9.0,-9.0,19,True
2,6.0,-8.0,21,False
3,0.5,-7.5,21,False
4,19.0,-1.0,8,True
5,16.0,-2.0,7,True
6,25.5,-2.5,16,True
7,15.5,-4.5,19,True
8,17.0,-1.0,8,True
9,10.5,-3.5,8,True
10,15.0,-5.0,16,True
11,21.5,-6.5,29,True
12,17.5,-2.5,13,True
13,30.5,-5.5,37,True
14,17.0,-1.0,7,True
15,20.5,-9.5,34,True
16,21.5,-0.5,16,True
17,17.5,-2.5,11,True
18,18.0,0.0,8,True
19,22.0,-2.0,17,True
20,33.0,-5.0,29,True
21,18.0,0.0,11,True
22,30.0,-2.0,22,True
23,22.0,-4.0,18,True
24,23.0,-1.0,23,True
25,26.0,-4.0,20,True
26,25.5,-0.5,10,True
27,23.0,-1.0,15,True
28,18.0,0.0,6,True
29,20.0,0.0,7,True
30,18.0,0.0,11,True
31,22.0,0.0,8,True
32,26.0,0.0,18,True
33,24.0,0.0,14,True
34,18.0,0.0,11,True
35,17.0,-1.0,16,True
36,21.0,-1.0,14,True
37,29.0,-3.0,24,True
38,18.0,0.0,13,True
39,21.5,-0.5,11,True
40,25.0,-1.0,20,True
41,29.0,-1.0,22,True
42,18.5,-1.5,9,True
43,18.0,0.0,7,True
44,21.0,-1.0,12,True
45,22.0,0.0,7,True
46,18.0,0.0,7,True
47,20.0,0.0,16,True
48,27.5,-0.5,17,True
49,18.0,0.0,11,True
50,22.0,0.0,9,True
51,22.0,0.0,7,True
52,23.0,-1.0,12,True
53,22.0,0.0,16,True
54,20.0,0.0,12,True
55,20.0,0.0,5,True
56,37.0,-1.0,37,True
57,26.0,0.0,14,True
58,32.0,-2.0,26,True
59,20.0,0.0,8,True
60,24.0,0.0,11,True
61,24.0,0.0,13,True
62,18.0,0.0,14,True
63,22.0,0.0,17,True
64,21.5,-0.5,13,True
65,18.0,0.0,7,True
66,27.5,-0.5,16,True
67,13.5,-0.5,3,True
68,19.0,-1.0,13,True
69,24.5,-1.5,21,True
70,24.0,0.0,13,True
71,20.5,-1.5,16,True
72,24.0,0.0,19,True
73,23.0,-1.0,16,True
74,18.0,0.0,7,True
75,22.5,-3.5,16,True
76,22.0,0.0,12,True
77,33.5,-0.5,19,True
78,20.0,0.0,10,True
79,22.0,0.0,13,True
80,14.5,-1.5,21,False
81,18.0,-4.0,26,False
82,24.0,0.0,15,True
83,18.0,0.0,13,True
84,28.0,0.0,28,True
85,24.0,0.0,21,True
86,18.0,0.0,7,True
87,22.0,0.0,13,True
88,24.0,0.0,17,True
89,22.0,0.0,7,True
90,26.0,0.0,17,True
91,33.0,-1.0,22,True
92,41.0,-1.0,33,True
93,20.0,0.0,10,True
94,23.5,-0.5,13,True
95,20.0,0.0,11,True
96,26.0,0.0,19,True
97,18.5,-1.5,13,True
98,24.0,0.0,12,True
99,20.5,-1.5,10,True
