,total_reward,negative_reward,trial_length,reached_destination
0,11.0,-7.0,15,True
1,-2.0,-10.0,21,False
2,1.5,-20.5,51,False
3,3.5,-12.5,36,False
4,-0.5,-12.5,31,False
5,4.5,-11.0,22,True
6,13.0,-5.0,17,True
7,13.0,-3.0,11,True
8,23.5,-6.5,25,True
9,8.5,-9.5,20,True
10,12.5,-9.5,36,False
11,12.5,-11.5,25,True
12,25.0,-7.0,29,True
13,19.5,-4.5,25,True
14,21.0,-1.0,11,True
15,20.5,-11.5,35,True
16,12.5,-3.5,21,False
17,17.5,-2.5,18,True
18,3.5,-4.5,21,False
19,7.5,-4.5,21,False
20,18.5,-1.5,8,True
21,15.5,-8.5,29,True
22,14.5,-11.5,56,False
23,31.5,-6.5,37,True
24,19.5,-0.5,7,True
25,25.5,-6.5,25,True
26,24.0,-2.0,19,True
27,19.5,-0.5,13,True
28,27.5,-4.5,29,True
29,25.0,-3.0,21,True
30,23.0,-1.0,23,True
31,29.5,-2.5,25,True
32,24.0,-2.0,15,True
33,21.5,-0.5,7,True
34,20.0,0.0,7,True
35,27.5,-0.5,12,True
36,25.5,-4.5,23,True
37,26.0,-2.0,17,True
38,23.5,-0.5,18,True
39,36.5,-1.5,28,True
40,35.0,-3.0,25,True
41,27.0,-3.0,18,True
42,21.0,-3.0,14,True
43,18.0,0.0,8,True
44,15.5,-2.5,21,False
45,18.0,0.0,6,True
46,24.0,-4.0,16,True
47,24.0,-2.0,21,True
48,24.0,-2.0,15,True
49,23.5,-0.5,17,True
50,18.0,0.0,5,True
51,13.5,-2.5,11,True
52,14.5,-3.5,21,True
53,21.0,-3.0,19,True
54,19.5,-0.5,19,True
55,19.0,-1.0,11,True
56,20.0,0.0,7,True
57,22.0,0.0,10,True
58,18.0,0.0,7,True
59,23.5,-0.5,8,True
60,23.0,-3.0,26,False
61,22.0,0.0,11,True
62,22.0,-2.0,16,True
63,19.5,-0.5,18,True
64,25.0,-1.0,13,True
65,19.0,-1.0,11,True
66,18.0,0.0,11,True
67,23.5,-0.5,25,True
68,28.5,-1.5,21,True
69,26.0,-4.0,26,True
70,27.0,-1.0,22,True
71,23.5,-0.5,13,True
72,19.5,-2.5,18,True
73,14.0,0.0,4,True
74,24.0,0.0,13,True
75,26.0,0.0,16,True
76,22.0,-2.0,19,True
77,21.5,-0.5,16,True
78,22.5,-1.5,14,True
79,23.0,-1.0,31,False
80,20.5,-1.5,12,True
81,24.5,-1.5,22,True
82,20.0,0.0,17,True
83,22.0,-4.0,27,True
84,24.0,0.0,13,True
85,23.0,-1.0,16,True
86,20.5,-1.5,13,True
87,24.5,-1.5,19,True
88,21.0,-1.0,11,True
89,23.5,-0.5,15,True
90,24.5,-1.5,18,True
91,23.0,-3.0,19,True
92,30.0,0.0,15,True
93,18.0,0.0,10,True
94,10.5,-1.5,6,True
95,21.0,-1.0,16,True
96,24.5,-1.5,13,True
97,19.5,-0.5,16,True
98,21.5,-0.5,10,True
99,23.0,-1.0,16,True
