,total_reward,negative_reward,trial_length,reached_destination
0,14.5,-5.5,21,False
1,6.0,-8.0,26,False
2,-2.0,-16.0,41,False
3,8.0,-14.0,41,False
4,1.5,-8.5,21,False
5,7.0,-9.0,17,True
6,14.5,-5.5,19,True
7,23.0,-3.0,17,True
8,28.5,-9.5,35,True
9,19.5,-8.5,27,True
10,5.0,-9.0,26,False
11,18.0,-4.0,21,False
12,26.0,-6.0,23,True
13,19.5,-0.5,6,True
14,12.0,-2.0,5,True
15,39.0,-9.0,35,True
16,23.0,-1.0,13,True
17,41.0,-5.0,31,True
18,14.5,-3.5,14,True
19,26.0,-4.0,21,True
20,33.0,-9.0,36,True
21,22.0,-2.0,14,True
22,19.0,-1.0,7,True
23,16.5,-5.0,16,True
24,11.5,-6.5,31,False
25,17.0,-1.0,5,True
26,33.0,-7.0,36,False
27,26.0,-4.0,21,False
28,25.5,-6.5,23,True
29,33.0,-1.0,15,True
30,21.5,-2.5,14,True
31,21.0,-1.0,8,True
32,24.5,-5.5,20,True
33,24.0,-6.0,31,False
34,15.0,-3.0,11,True
35,37.5,-2.5,23,True
36,24.0,-5.5,24,True
37,20.0,0.0,5,True
38,34.0,-4.0,22,True
39,36.5,-9.5,37,True
40,35.0,-1.0,18,True
41,32.0,-2.0,16,True
42,15.0,-3.0,10,True
43,22.0,-4.0,16,True
44,28.5,-5.5,27,True
45,39.5,-2.5,21,True
46,25.0,-3.0,15,True
47,31.0,-1.0,14,True
48,23.5,-0.5,8,True
49,18.0,0.0,4,True
50,15.5,-2.5,9,True
51,41.5,-4.5,33,True
52,18.0,0.0,4,True
53,41.0,-3.0,23,True
54,19.0,-3.0,11,True
55,31.0,-3.0,18,True
56,19.0,-1.0,8,True
57,25.5,-0.5,21,True
58,13.5,-2.5,21,False
59,21.0,-1.0,13,True
60,20.5,-3.5,26,False
61,24.0,-2.0,13,True
62,21.5,-0.5,7,True
63,22.5,-1.5,13,True
64,20.0,0.0,13,True
65,36.5,-1.5,21,True
66,36.5,-3.5,25,True
67,21.0,-1.0,21,True
68,38.5,-1.5,22,True
69,27.5,-2.5,18,True
70,24.0,0.0,17,True
71,23.5,-0.5,9,True
72,26.5,-1.5,13,True
73,28.5,-1.5,17,True
74,23.0,-3.0,16,True
75,29.0,-1.0,12,True
76,19.5,-0.5,12,True
77,21.0,-1.0,12,True
78,20.0,0.0,11,True
79,20.0,0.0,5,True
80,20.0,0.0,13,True
81,21.0,-1.0,11,True
82,17.5,-2.5,21,False
83,20.0,0.0,5,True
84,22.0,0.0,13,True
85,31.5,-0.5,21,True
86,17.5,-2.5,11,True
87,43.5,-4.5,34,True
88,37.0,-3.0,23,True
89,27.5,-0.5,10,True
90,22.0,-2.0,12,True
91,18.5,-1.5,8,True
92,28.0,-2.0,14,True
93,20.0,-4.0,26,False
94,18.0,0.0,6,True
95,24.5,-1.5,16,True
96,24.5,-1.5,21,True
97,36.5,-1.5,20,True
98,24.5,-1.5,16,True
99,23.5,-0.5,17,True
