,total_reward,negative_reward,trial_length,reached_destination
0,3.0,-9.0,26,False
1,2.0,-8.0,21,False
2,11.0,-9.0,26,True
3,17.0,-7.0,25,True
4,14.5,-3.5,19,True
5,3.5,-8.0,17,True
6,6.0,-5.5,11,True
7,14.5,-5.5,17,True
8,9.0,-0.5,2,True
9,26.5,-3.5,23,True
10,30.0,-4.0,25,True
11,9.0,-3.0,21,False
12,9.5,-4.5,21,False
13,23.5,-2.5,22,True
14,24.0,-4.0,23,True
15,23.0,-3.0,16,True
16,34.0,-2.0,25,True
17,34.0,-4.0,29,True
18,10.5,-5.5,21,False
19,22.0,0.0,7,True
20,20.0,-4.0,21,False
21,38.5,-9.5,35,True
22,19.0,-5.0,17,True
23,28.0,-2.0,18,True
24,27.5,-2.5,21,False
25,26.0,-6.0,21,True
26,12.5,-5.5,21,False
27,9.0,-0.5,3,True
28,31.0,-9.0,41,False
29,23.0,-7.0,26,True
30,17.5,-6.5,17,True
31,21.0,-1.0,8,True
32,29.5,-2.5,18,True
33,23.5,-6.5,26,False
34,21.5,-4.5,21,False
35,21.0,-1.0,8,True
36,31.0,-3.0,19,True
37,34.5,-1.5,19,True
38,22.5,-3.5,21,False
39,40.0,-8.0,41,False
40,21.0,-1.0,9,True
41,18.0,0.0,6,True
42,22.5,-1.0,15,True
43,23.5,-4.5,31,False
44,31.5,-4.5,21,True
45,30.5,-3.5,19,True
46,10.0,-2.0,6,True
47,16.5,-1.5,7,True
48,23.5,-0.5,9,True
49,16.0,0.0,3,True
50,13.5,-2.5,8,True
51,21.5,-0.5,8,True
52,29.5,-4.5,31,True
53,18.0,0.0,8,True
54,23.5,-2.5,21,True
55,26.5,-1.5,13,True
56,25.5,-2.5,12,True
57,43.5,-2.5,25,True
58,32.0,-2.0,18,True
59,19.0,-3.0,14,True
60,17.5,-0.5,7,True
61,19.0,-1.0,11,True
62,17.5,-0.5,6,True
63,20.0,0.0,6,True
64,23.0,-1.0,13,True
65,20.0,0.0,7,True
66,18.0,0.0,11,True
67,19.0,-1.0,13,True
68,27.5,-0.5,21,True
69,18.0,0.0,13,True
70,20.0,0.0,13,True
71,18.0,0.0,7,True
72,24.0,0.0,17,True
73,32.5,-3.5,26,True
74,22.0,0.0,9,True
75,25.0,-5.0,23,True
76,20.0,0.0,10,True
77,18.0,0.0,10,True
78,22.0,0.0,11,True
79,20.0,0.0,5,True
80,23.5,-0.5,13,True
81,21.0,-1.0,10,True
82,20.5,-1.5,17,True
83,24.0,0.0,11,True
84,31.0,-1.0,17,True
85,23.5,-4.5,15,True
86,24.0,-2.0,14,True
87,20.0,0.0,8,True
88,23.5,-0.5,8,True
89,22.0,0.0,7,True
90,18.0,0.0,11,True
91,24.0,0.0,9,True
92,23.0,-1.0,12,True
93,20.0,0.0,7,True
94,27.5,-0.5,14,True
95,35.5,-4.0,32,True
96,25.5,-0.5,11,True
97,19.5,-0.5,12,True
98,22.0,0.0,22,True
99,29.5,-0.5,21,True
