,total_reward,negative_reward,trial_length,reached_destination
0,0.5,-9.5,21,False
1,16.5,-5.5,21,True
2,22.0,-4.0,26,False
3,29.0,-1.0,26,False
4,28.5,-1.5,22,True
5,21.5,-0.5,16,True
6,19.5,-2.5,16,True
7,17.0,-1.0,7,True
8,23.0,-3.0,25,True
9,30.0,0.0,14,True
10,21.0,-1.0,11,True
11,25.5,-0.5,16,True
12,18.0,0.0,13,True
13,19.0,-1.0,9,True
14,20.0,-2.0,11,True
15,16.5,-1.5,11,True
16,23.5,-0.5,13,True
17,26.0,0.0,26,True
18,26.0,0.0,8,True
19,23.0,-1.0,14,True
20,18.0,0.0,9,True
21,24.0,0.0,15,True
22,18.0,0.0,4,True
23,24.0,0.0,15,True
24,26.0,0.0,16,True
25,21.5,-2.5,21,True
26,21.0,-1.0,13,True
27,17.0,-1.0,6,True
28,20.0,0.0,13,True
29,22.0,0.0,11,True
30,18.5,-1.5,16,True
31,21.5,-0.5,10,True
32,35.0,-1.0,25,True
33,12.5,-1.5,36,False
34,20.0,0.0,13,True
35,26.0,0.0,16,True
36,24.5,-1.5,16,True
37,18.0,0.0,11,True
38,29.5,-0.5,26,True
39,25.0,-1.0,22,True
40,24.0,0.0,14,True
41,21.0,-1.0,9,True
42,18.0,0.0,7,True
43,20.0,0.0,14,True
44,24.0,0.0,11,True
45,20.0,0.0,7,True
46,21.0,-1.0,16,True
47,20.0,0.0,13,True
48,21.5,-0.5,13,True
49,22.0,0.0,6,True
50,14.0,-4.0,11,True
51,21.5,-0.5,11,True
52,22.0,0.0,9,True
53,12.5,-1.5,21,False
54,32.0,0.0,18,True
55,29.5,-0.5,21,True
56,24.0,0.0,10,True
57,20.0,0.0,10,True
58,30.0,0.0,28,True
59,18.0,0.0,5,True
60,21.5,-0.5,19,True
61,18.0,0.0,11,True
62,22.0,0.0,8,True
63,20.0,0.0,7,True
64,30.0,0.0,25,True
65,24.0,0.0,11,True
66,13.5,-0.5,8,True
67,31.5,-0.5,21,True
68,24.0,0.0,20,True
69,22.0,0.0,14,True
70,20.0,0.0,5,True
71,22.0,0.0,13,True
72,26.0,0.0,11,True
73,18.0,0.0,7,True
74,22.0,0.0,11,True
75,17.0,-1.0,9,True
76,20.0,0.0,10,True
77,18.0,0.0,7,True
78,20.0,0.0,9,True
79,18.0,0.0,7,True
80,16.0,0.0,6,True
81,18.0,0.0,11,True
82,22.0,0.0,16,True
83,22.0,0.0,13,True
84,31.5,-2.5,33,True
85,31.0,-1.0,25,True
86,20.0,0.0,14,True
87,22.0,0.0,16,True
88,15.0,-3.0,11,True
89,22.0,0.0,14,True
90,26.0,0.0,13,True
91,24.0,0.0,17,True
92,18.0,0.0,10,True
93,22.0,0.0,18,True
94,20.0,0.0,10,True
95,18.0,0.0,21,False
96,18.0,0.0,9,True
97,18.0,0.0,7,True
98,19.5,-0.5,16,True
99,24.5,-1.5,21,True
