,total_reward,negative_reward,trial_length,reached_destination
0,9.5,-8.5,36,False
1,-1.0,-17.0,46,False
2,1.5,-12.5,36,False
3,-0.5,-12.5,31,False
4,15.5,-4.5,14,True
5,21.0,-5.0,28,True
6,18.0,-4.0,16,True
7,17.0,-15.0,40,True
8,19.0,-3.0,10,True
9,14.5,-9.5,25,True
10,21.5,-6.5,26,True
11,24.5,-3.5,14,True
12,30.0,-12.0,51,True
13,11.5,-4.5,16,True
14,18.0,0.0,4,True
15,35.0,-1.0,34,True
16,22.5,-1.5,16,True
17,22.5,-1.5,17,True
18,13.0,-3.0,26,False
19,25.0,-7.0,31,True
20,21.0,-1.0,13,True
21,22.5,-1.5,20,True
22,19.0,-1.0,10,True
23,22.0,0.0,17,True
24,31.5,-0.5,17,True
25,25.0,-1.0,9,True
26,17.0,-1.0,13,True
27,19.5,-4.5,16,True
28,19.5,-4.5,22,True
29,24.5,-1.5,20,True
30,32.5,-3.5,41,False
31,22.0,0.0,10,True
32,21.5,-0.5,12,True
33,28.0,-2.0,25,True
34,22.0,-2.0,18,True
35,15.5,-0.5,6,True
36,20.0,0.0,11,True
37,25.5,-0.5,13,True
38,26.5,-1.5,14,True
39,22.0,0.0,11,True
40,16.0,-2.0,10,True
41,20.0,0.0,11,True
42,22.0,0.0,15,True
43,22.0,0.0,13,True
44,18.0,0.0,8,True
45,22.0,0.0,9,True
46,19.0,-1.0,17,True
47,13.5,0.0,4,True
48,23.5,-0.5,16,True
49,21.5,-0.5,22,True
50,20.0,0.0,14,True
51,24.0,0.0,14,True
52,41.0,-5.0,38,True
53,28.0,-2.0,20,True
54,24.0,0.0,13,True
55,19.0,-1.0,8,True
56,24.0,-4.0,25,True
57,35.0,-1.0,23,True
58,22.0,0.0,10,True
59,22.5,-1.5,17,True
60,20.0,0.0,13,True
61,15.5,-0.5,11,True
62,22.0,0.0,9,True
63,18.5,-1.5,16,True
64,34.0,-2.0,28,True
65,40.5,-1.5,31,True
66,22.5,-3.5,23,True
67,20.0,0.0,6,True
68,22.0,0.0,9,True
69,32.5,-1.5,30,True
70,19.5,-0.5,10,True
71,30.0,-2.0,26,True
72,19.5,-0.5,16,True
73,25.5,-0.5,14,True
74,19.5,-0.5,10,True
75,18.0,0.0,10,True
76,22.0,0.0,13,True
77,24.0,0.0,17,True
78,21.5,-0.5,26,False
79,24.5,-3.5,22,True
80,28.0,0.0,17,True
81,29.5,-0.5,23,True
82,21.0,-1.0,13,True
83,14.0,0.0,2,True
84,20.0,0.0,13,True
85,19.0,-1.0,13,True
86,15.5,-0.5,4,True
87,22.0,-2.0,17,True
88,11.0,-0.5,9,True
89,22.0,0.0,22,True
90,22.0,0.0,7,True
91,19.5,-0.5,16,True
92,26.0,0.0,16,True
93,26.0,0.0,13,True
94,18.0,0.0,6,True
95,16.0,0.0,3,True
96,18.0,0.0,13,True
97,18.0,0.0,7,True
98,31.5,-0.5,16,True
99,18.0,0.0,5,True
