,total_reward,negative_reward,trial_length,reached_destination
0,15.5,-12.5,34,True
1,21.0,-5.0,16,True
2,15.5,-2.5,17,True
3,16.5,-5.5,16,True
4,27.5,-6.5,29,True
5,27.5,-2.5,19,True
6,26.0,-2.0,18,True
7,21.5,-2.5,22,True
8,18.0,-2.0,7,True
9,22.0,0.0,18,True
10,24.0,0.0,18,True
11,18.0,0.0,4,True
12,23.0,-1.0,16,True
13,23.0,-1.0,16,True
14,18.0,-2.0,7,True
15,20.0,0.0,11,True
16,18.0,0.0,6,True
17,25.5,-0.5,16,True
18,22.0,0.0,6,True
19,20.0,0.0,7,True
20,22.0,0.0,9,True
21,23.5,-0.5,13,True
22,28.0,0.0,19,True
23,24.0,0.0,24,True
24,14.0,0.0,2,True
25,24.0,0.0,8,True
26,20.0,0.0,9,True
27,24.0,0.0,19,True
28,22.0,0.0,17,True
29,22.0,0.0,17,True
30,23.0,-1.0,13,True
31,22.5,-1.5,19,True
32,14.0,0.0,2,True
33,18.0,0.0,12,True
34,18.0,0.0,11,True
35,16.0,-2.0,7,True
36,18.0,0.0,7,True
37,23.5,-0.5,21,True
38,27.5,-0.5,11,True
39,26.5,-1.5,26,True
40,24.0,0.0,17,True
41,20.0,0.0,17,True
42,22.0,0.0,16,True
43,16.0,0.0,3,True
44,21.0,-1.0,13,True
45,22.0,0.0,11,True
46,26.0,0.0,21,True
47,24.0,0.0,10,True
48,43.0,-1.0,38,True
49,22.0,0.0,12,True
50,18.0,0.0,4,True
51,18.0,0.0,6,True
52,18.0,0.0,7,True
53,20.0,0.0,6,True
54,20.0,0.0,7,True
55,25.5,-0.5,17,True
56,26.0,0.0,14,True
57,25.5,-0.5,14,True
58,22.0,0.0,8,True
59,22.0,0.0,10,True
60,23.5,-0.5,15,True
61,24.0,0.0,14,True
62,14.0,0.0,2,True
63,26.0,0.0,21,True
64,27.0,-1.0,17,True
65,22.0,-2.0,25,True
66,27.0,-1.0,26,True
67,21.5,-0.5,9,True
68,25.5,-0.5,25,True
69,24.0,0.0,21,True
70,17.0,-1.0,6,True
71,20.0,0.0,15,True
72,22.0,0.0,11,True
73,24.0,0.0,18,True
74,18.0,0.0,12,True
75,20.0,0.0,9,True
76,26.0,0.0,8,True
77,24.5,-1.5,19,True
78,18.0,0.0,8,True
79,21.0,-1.0,18,True
80,22.0,0.0,18,True
81,18.0,0.0,8,True
82,18.0,0.0,10,True
83,26.0,0.0,25,True
84,18.0,0.0,10,True
85,20.0,-2.0,9,True
86,27.5,-0.5,29,True
87,30.0,0.0,23,True
88,18.0,0.0,7,True
89,33.5,-0.5,17,True
90,19.5,-0.5,10,True
91,22.0,0.0,11,True
92,20.0,0.0,7,True
93,20.0,0.0,13,True
94,22.0,0.0,16,True
95,26.0,0.0,11,True
96,22.0,0.0,12,True
97,20.0,0.0,10,True
98,18.0,0.0,5,True
99,28.0,0.0,16,True
